,ind,Zoom_level,Duration,Longitude,Latitude,Sync_time
92,92,16.0,275.1,19.049918174464892,47.50252794098017,27758.7
93,93,16.0,143.5,19.05032157845507,47.50035206229461,28076.9
94,94,16.0,258.9,19.05025935198923,47.49761526778386,28249.3
95,95,16.0,345.4,19.050692795935767,47.49877793471398,28533.3
96,96,16.0,176.3,19.050518989308454,47.498038586018495,28898.9
97,97,16.0,223.9,19.04744195847857,47.50097562312953,29127.8
98,98,16.0,112.8,19.048242330728637,47.49452001321226,29417.7
99,99,16.0,458.2,19.05427169783879,47.49452972026706,29779.3
100,100,16.0,183.3,19.05396485337703,47.48985097347628,30273.0
101,101,16.0,53.8,19.061021088623562,47.49054687074793,30594.5
102,102,16.0,242.7,19.060744286737513,47.490490323469054,30664.5
103,103,16.0,173.5,19.06331276914606,47.49150380947428,31202.9
104,104,16.0,217.3,19.062881470442946,47.49117178235579,31411.5
105,105,16.0,180.7,19.062010289443624,47.491042741350704,31754.1
106,106,16.0,236.4,19.06250381592228,47.48931587357304,31969.7
107,107,16.0,364.1,19.06281495218056,47.49135447036191,32265.2
108,108,16.0,157.7,19.062162638397943,47.490858602702446,32654.7
109,109,16.0,168.0,19.059973955753506,47.49049467394261,32843.8
110,110,16.0,361.9,19.06477832925865,47.49265646251648,33178.0
111,111,16.0,129.2,19.06388568796701,47.49234329171676,33572.3
112,112,16.0,124.1,19.057890414920877,47.487760050569214,33747.8
113,113,16.0,147.4,19.05787968608439,47.48751355044884,33926.1
114,114,16.0,106.9,19.05840969086905,47.48879243779664,34103.0
115,115,16.0,180.4,19.05581116719444,47.49089195048542,34293.3
116,116,16.0,227.5,19.05150032016793,47.490651265087834,34516.9
117,117,16.0,340.8,19.048264503343763,47.48976825756045,34779.8
118,118,16.0,152.5,19.04600596432338,47.486034989111126,35231.8
119,119,16.0,121.6,19.051516294483946,47.48848550787488,35512.6
120,120,16.0,52.7,19.051827430742225,47.48806791293561,35710.6
121,121,16.0,238.7,19.05107641218774,47.4902138525301,35841.1
122,122,16.0,126.0,19.059283970794752,47.48486043958846,36178.9
123,123,16.0,86.5,19.059350491676486,47.485891434998166,36361.7
124,124,16.0,208.0,19.054972648636216,47.49106163782634,36481.5
125,125,16.0,123.2,19.04740023531602,47.49004669370796,36739.6
126,126,16.0,209.3,19.047344445890122,47.49856581555559,36986.0
127,127,16.0,136.9,19.044831752252634,47.499039865157066,37233.1
128,128,16.0,143.4,19.04543423655617,47.50286870202731,37408.4
129,129,16.0,101.0,19.044331311640885,47.502471515648445,37595.6
130,130,16.0,244.9,19.044826984672614,47.50359203745706,37728.5
131,131,16.0,230.7,19.04767441682996,47.50299336586185,38011.0
132,132,16.0,128.7,19.045758246894355,47.50165248982826,38274.6
133,133,16.0,397.9,19.045230388662794,47.500495685490954,38489.2
134,134,16.0,151.0,19.046884774726053,47.50162204828466,38933.7
135,135,16.0,291.2,19.04462766603124,47.50722861703415,39103.6
136,136,16.0,261.0,19.045870065820907,47.505160197012124,39459.7
137,137,16.0,186.1,19.045041798857905,47.51130578882618,39774.0
138,138,16.0,212.9,19.04397964404514,47.50997092301272,39994.0
139,139,16.0,298.5,19.04548382770718,47.50996367609201,40254.4
140,140,16.0,107.5,19.047468423518513,47.5145257227924,40710.7
141,141,16.0,206.4,19.047414779336062,47.512330050609265,40858.3
142,142,16.0,266.3,19.04800915713968,47.51021255290556,41103.7
143,143,16.0,69.9,19.048768759287203,47.51022849658494,41397.9
144,144,16.0,193.9,19.046762466863118,47.51440398504664,41521.2
145,145,16.0,226.5,19.047406197052673,47.51556048289221,41755.8
146,146,16.0,306.4,19.04795336771378,47.51698215802957,42017.8
147,147,16.0,160.1,19.045460462668267,47.521462320642584,42464.1
148,148,16.0,88.1,19.041776179954855,47.52110584938574,42659.9
149,149,16.0,261.5,19.043615102791563,47.52347068868505,42786.6
150,150,16.0,342.3,19.04929923957944,47.52249839307722,43094.3
151,151,16.0,432.5,19.03942656476301,47.52294469516265,43480.7
152,152,16.0,434.7,19.038134812587383,47.518943782505474,43968.3
153,153,16.0,249.0,19.051940201758534,47.51927950998415,44463.9
154,154,16.0,431.7,19.050822257519897,47.51926212028092,44759.3
155,155,16.0,265.6,19.0519273276786,47.5191012672428,45216.0
156,156,16.0,272.4,19.045423507520784,47.519806989455894,45530.5
157,157,16.0,385.7,19.04359960531708,47.518712898638896,45841.8
158,158,16.0,167.7,19.048888921707842,47.51584496669143,46262.0
159,159,16.0,206.8,19.048080444057394,47.511025631041036,46568.9
160,160,16.0,184.6,19.039900778853667,47.50867037646043,46850.2
161,161,16.0,139.6,19.039001703141412,47.507407916850255,47076.1
162,162,16.0,77.1,19.039739846306286,47.50698467327524,47257.8
163,163,16.0,84.4,19.044696568765776,47.50867762355971,47387.7
164,164,16.0,111.3,19.047449589257447,47.50714266524051,47659.1
165,165,15.0,62.0,19.04958295768075,47.50118610804462,47916.0
166,166,16.0,83.7,19.046409845574033,47.5050353848587,48038.2
167,167,16.0,206.6,19.046813249564213,47.506461692958766,48172.7
168,168,17.0,122.0,19.044867634873796,47.506922210299585,48505.4
169,169,17.0,342.2,19.044056534442056,47.50672073391727,48691.4
170,170,17.0,940.9,19.045236110933782,47.50619628496286,49056.3
